area,i,j,cell,bounds,tile,well
1169,340.5928143712575,850.33875106929,128,"(321, 832, 360, 870)",1,A2
962,342.9864864864865,538.5987525987526,129,"(326, 522, 362, 556)",1,A2
1234,347.1855753646677,299.2609400324149,130,"(328, 278, 367, 322)",1,A2
1611,353.62445685909375,695.9869646182495,131,"(329, 675, 378, 718)",1,A2
1497,359.06145624582496,756.5490981963928,132,"(338, 733, 379, 781)",1,A2
1707,360.111892208553,1648.7510251903925,133,"(338, 1624, 382, 1674)",1,A2
1524,365.2171916010499,1164.6095800524934,134,"(341, 1146, 391, 1185)",1,A2
1520,359.9078947368421,1336.2342105263158,135,"(342, 1311, 380, 1362)",1,A2
1005,365.5731343283582,191.80796019900498,136,"(349, 173, 384, 213)",1,A2
1115,368.4591928251121,2230.5928251121077,137,"(349, 2209, 388, 2252)",1,A2
2018,378.26263627353813,90.29435084241824,138,"(350, 70, 411, 114)",1,A2
1530,373.6137254901961,2089.3993464052287,139,"(352, 2065, 395, 2113)",1,A2
2412,387.30555555555554,616.6314262023217,140,"(358, 585, 414, 652)",1,A2
1252,381.8043130990415,509.23482428115017,141,"(361, 490, 403, 529)",1,A2
1722,387.69279907084785,2294.9001161440187,142,"(361, 2274, 414, 2315)",1,A2
1865,388.6959785522788,255.80857908847184,143,"(363, 234, 415, 280)",1,A2
1587,402.78386893509764,818.7599243856333,144,"(378, 800, 428, 840)",1,A2
1463,401.8475734791524,139.70881749829118,145,"(382, 118, 422, 164)",1,A2
1299,402.03387220939186,2150.7536566589683,146,"(382, 2131, 424, 2171)",1,A2
1443,403.1857241857242,412.66181566181564,147,"(384, 390, 423, 437)",1,A2
1046,405.20841300191205,50.40248565965583,148,"(387, 32, 424, 69)",1,A2
1450,409.35655172413794,318.63448275862066,149,"(391, 294, 429, 344)",1,A2
1553,414.5692208628461,728.2073406310367,150,"(394, 705, 438, 753)",1,A2
1614,419.6164807930607,2351.116480793061,151,"(395, 2330, 444, 2374)",1,A2
1144,416.631993006993,559.2578671328671,152,"(399, 540, 435, 580)",1,A2
1602,428.1429463171036,2217.8826466916353,153,"(404, 2197, 455, 2239)",1,A2
1000,421.421,200.85,154,"(405, 183, 440, 220)",1,A2
1827,435.6672140120416,1634.752052545156,155,"(414, 1609, 458, 1662)",1,A2
1529,439.15107913669067,104.87638979725311,156,"(416, 84, 463, 126)",1,A2
